timestamp(ms),adc1,adc2,adc3,
1747073425.322,0.264516,0.425806,3.3,
1747073425.323,0.258065,0.329032,3.3,
1747073425.326,0.187097,0.419355,3.290323,
1747073425.327,0.190323,0.390323,3.3,
1747073425.333,0.248387,0.390323,3.3,
1747073425.334,0.287097,0.403226,3.3,
1747073425.335,0.33871,0.422581,3.3,
1747073425.336,0.354839,0.435484,3.3,
1747073425.337,0.367742,0.445161,3.3,
1747073425.347,0.374194,0.390323,3.3,
1747073425.348,0.309677,0.274194,3.3,
1747073425.349,0.267742,0.206452,3.3,
1747073425.35,0.219355,0.203226,3.296774,
1747073425.351,0.212903,0.180645,3.3,
1747073425.352,0.212903,0.203226,3.293548,
1747073425.353,0.219355,0.212903,3.3,
1747073425.354,0.222581,0.23871,3.3,
1747073425.355,0.267742,0.245161,3.3,
1747073425.356,0.319355,0.251613,0,
1747073425.357,0.377419,0.277419,0.016129,
1747073425.358,0.387097,0.293548,0,
1747073425.359,0.419355,0.303226,0.012903,
1747073425.36,0.445161,0.3,0.006452,
1747073425.361,0.416129,0.325806,0,
1747073425.362,0.409677,0.312903,0.009677,
1747073425.363,0.451613,0.309677,0.012903,
1747073425.364,0.429032,0.316129,0,
1747073425.365,0.445161,0.296774,0,
1747073425.366,0.370968,0.348387,0,
1747073425.367,0.441935,0.270968,0,
1747073425.368,0.43871,0.245161,0.006452,
1747073425.369,0.4,0.26129,0.006452,
1747073425.37,0.425806,0.254839,0.016129,
1747073425.371,0.345161,0.258065,0,
1747073425.372,0.383871,0.251613,0.003226,
1747073425.373,0.409677,0.280645,0.003226,
1747073425.374,0.412903,0.254839,0.016129,
1747073425.375,0.425806,0.245161,0.016129,
1747073425.376,0.390323,0.23871,0.012903,
1747073425.377,0.335484,0.235484,0,
1747073425.378,0.432258,0.329032,0,
1747073425.379,0.416129,0.290323,0.012903,
1747073425.38,0.43871,0.319355,0.009677,
1747073425.381,0.383871,0.3,0.006452,
1747073425.382,0.377419,0.374194,0.009677,
1747073425.383,0.425806,0.425806,0.003226,
1747073425.384,0.451613,0.396774,0.003226,
1747073425.385,0.429032,0.432258,0,
1747073425.386,0.351613,0.393548,0.006452,
1747073425.387,0.309677,0.403226,0.006452,
1747073425.388,0.409677,0.445161,0,
1747073425.389,0.306452,0.377419,0.009677,
1747073425.39,0.251613,0.390323,0.003226,
1747073425.391,0.322581,0.419355,0.025806,
1747073425.392,0.303226,0.43871,0,
1747073425.393,0.251613,0.351613,0,
1747073425.394,0.274194,0.409677,0.019355,
1747073425.395,0.190323,0.425806,0.019355,
1747073425.396,0.216129,0.3,0.003226,
1747073425.397,0.2,0.387097,0.006452,
1747073425.398,0.245161,0.403226,0.006452,
1747073425.399,0.23871,0.36129,0.006452,
1747073425.4,0.248387,0.412903,0.003226,
1747073425.401,0.23871,0.341935,0.003226,
1747073425.402,0.264516,0.390323,0,
1747073425.403,0.251613,0.322581,0,
1747073425.404,0.296774,0.432258,0.003226,
1747073425.405,0.309677,0.409677,0,
1747073425.406,0.332258,0.409677,0.003226,
1747073425.407,0.345161,0.43871,0.009677,
1747073425.408,0.354839,0.425806,0,
1747073425.409,0.370968,0.435484,0.006452,
1747073425.41,0.367742,0.425806,0.012903,
1747073425.411,0.351613,0.409677,0,
1747073425.412,0.351613,0.374194,0.006452,
1747073425.413,0.319355,0.26129,0.016129,
1747073425.414,0.329032,0.332258,0.009677,
1747073425.415,0.277419,0.222581,0.012903,
1747073425.416,0.296774,0.235484,0.012903,
1747073425.417,0.283871,0.193548,0.016129,
1747073425.418,0.254839,0.229032,0,
