timestamp(ms),adc1,adc2,adc3,
"1747073354.959","0.229032","0.193548","3.3",
"1747073354.96","0.222581","0.209677","3.3",
"1747073354.961","0.232258","0.212903","3.3",
"1747073354.962","0.241935","0.232258","3.3",
"1747073354.963","0.348387","0.222581","3.3",
"1747073354.964","0.374194","0.264516","3.3",
"1747073354.965","0.380645","0.267742","3.3",
"1747073354.966","0.409677","0.274194","3.3",
"1747073354.971","0.441935","0.329032","3.296774",
"1747073354.972","0.383871","0.316129","3.3",
"1747073354.973","0.448387","0.290323","3.3",
"1747073354.974","0.422581","0.280645","3.3",
"1747073354.975","0.387097","0.270968","3.296774",
"1747073354.976","0.445161","0.248387","3.296774",
"1747073354.977","0.412903","0.245161","3.3",
"1747073354.978","0.425806","0.251613","3.3",
"1747073354.979","0.409677","0.280645","3.293548",
"1747073354.98","0.432258","0.316129","3.3",
"1747073354.981","0.36129","0.254839","3.3",
"1747073354.982","0.393548","0.303226","3.3",
"1747073354.983","0.4","0.23871","3.296774",
"1747073354.984","0.4","0.319355","3.3",
"1747073354.985","0.374194","0.264516","3.3",
"1747073354.986","0.416129","0.264516","3.3",
"1747073354.987","0.377419","0.241935","3.3",
"1747073354.988","0.445161","0.380645","3.3",
"1747073354.989","0.451613","0.329032","3.3",
"1747073354.99","0.432258","0.409677","3.3",
"1747073354.991","0.470968","0.416129","3.3",
"1747073354.992","0.470968","0.396774","3.3",
"1747073354.993","0.470968","0.393548","3.3",
"1747073354.994","0.464516","0.393548","3.3",
"1747073354.995","0.451613","0.387097","3.3",
"1747073354.996","0.409677","0.383871","3.3",
"1747073354.997","0.329032","0.380645","3.293548",
"1747073354.998","0.274194","0.432258","3.3",
"1747073354.999","0.225806","0.432258","3.3",
"1747073355","0.235484","0.406452","3.3",
"1747073355.001","0.290323","0.412903","3.3",
"1747073355.002","0.290323","0.406452","3.3",
"1747073355.003","0.206452","0.412903","3.3",
"1747073355.004","0.225806","0.354839","3.296774",
"1747073355.005","0.225806","0.374194","3.3",
"1747073355.006","0.229032","0.390323","3.3",
"1747073355.007","0.248387","0.4","3.3",
"1747073355.008","0.270968","0.351613","3.3",
"1747073355.009","0.258065","0.367742","3.290323",
"1747073355.01","0.277419","0.412903","3.3",
"1747073355.011","0.296774","0.441935","3.3",
"1747073355.012","0.303226","0.374194","3.3",
"1747073355.013","0.322581","0.441935","3.3",
"1747073355.014","0.33871","0.422581","3.296774",
"1747073355.015","0.354839","0.43871","3.3",
"1747073355.016","0.367742","0.445161","3.3",
"1747073355.017","0.370968","0.448387","3.3",
"1747073355.018","0.358065","0.43871","3.3",
"1747073355.019","0.358065","0.319355","3.3",
"1747073355.02","0.348387","0.403226","3.3",
"1747073355.021","0.332258","0.406452","0.016129",
"1747073355.022","0.287097","0.264516","0.012903",
"1747073355.023","0.303226","0.296774","0.003226",
"1747073355.024","0.306452","0.316129","0",
"1747073355.025","0.290323","0.270968","0",
"1747073355.026","0.270968","0.222581","0",
"1747073355.027","0.209677","0.209677","0.003226",
"1747073355.028","0.209677","0.177419","0",
"1747073355.029","0.26129","0.180645","0",
"1747073355.03","0.209677","0.203226","0",
"1747073355.031","0.225806","0.193548","0.012903",
"1747073355.032","0.206452","0.222581","0",
"1747073355.033","0.212903","0.216129","0.016129",
"1747073355.034","0.325806","0.245161","0.006452",
"1747073355.035","0.264516","0.26129","0.003226",
"1747073355.036","0.354839","0.264516","0",
"1747073355.037",,"0.274194","0.009677",
"1747073355.038","0.316129","0.296774","0",
"1747073355.039","0.4","0.251613","0.006452",
"1747073355.04","0.425806","0.322581","0.009677",
"1747073355.041","0.412903","0.325806","0.016129",
"1747073355.042","0.383871","0.309677","0.006452",
"1747073355.043","0.429032","0.303226","0",
"1747073355.044","0.409677","0.296774","0.009677",
"1747073355.045","0.432258","0.267742","0.009677",
"1747073355.046","0.435484","0.264516","0.006452",
"1747073355.047","0.429032","0.254839","0.012903",
"1747073355.048","0.445161","0.232258","0.012903",
"1747073355.049","0.432258","0.258065","0",
"1747073355.05","0.409677","0.270968","0.009677",
"1747073355.051","0.36129","0.264516","0",
"1747073355.052","0.36129","0.26129","0",
"1747073355.053","0.377419","0.277419","0.009677",
